ProductName,TotalQuantity,TotalSellingValue,TotalBuyValue,Total profit,product,category
VICTORY720WP*500GMLTD),1,900,700,200,fungicide,agro
OMEXMUREXK1L,1,1500,1280,220,foliar feed,agro
METACOZEB72WP100GM,1,280,211,69,fungicide,agro
DUDUTHRIN1.75EC200ML,1,450,365,85,insecticide,agro
VITAMETEGGEXTRA100GM,1,250,150,100,supplement,poultry
RANGER480EC250ML,1,650,423,227,insecticide,agro
FORCE1SUPER*1L,1,1550,1082,468,dewormer,cattle
NOROCLEANSE500ML,1,750,560,190,disinfectant,disinfectant
LEVAFASDIAMOND*1L,1,1750,1415,335,dewormer,cattle
VALBAZEN10%40ML,1,350,276,74,dewormer,cattle
OPTICLOXEYEOINTMENT5GM,1,200,145,55,eye ointment,cattle
COLISTINSULPHATEWSP100GMLTD),1,650,320,330,antibiotics,poultry
OSHOTHANEPLUS500GM,1,480,407,73,fungicide,agro
RANGER480EC500ML,1,1400,1063,337,insecticide,agro
ACTELLIC-SUPER019DP*500GM,1,580,464,116,insecticide,grain
MACLIKPLUS5KG,1,1100,870,230,mineral powder salts,cattle
AFYABORAMAZIWA2KG,1,400,316,84,mineral powder salts,cattle
EASYGROFLOWER&FRUIT500GM,1,350,227,123,foliar feed,agro
SUPERSKAJCYCLINE100GM,1,550,255,295,antibiotics,poultry
OSHOTHANEPLUS200GM,1,250,178,72,fungicide,agro
ACTARA250WG8GM,1,220,170,50,insecticide,agro
SCORE250EC20ML,1,280,234,46,insecticide,agro
MSVDCP500GMMSV,1,150,60,90,supplement,all purpose
COOPERSHEALINGOIL100ML,1,400,315,85,disinfectant,all purpose
ULTRAMIXJOTO5KG,1,950,747,203,mineral powder salts,cattle
TRIATIXSTOCKSPRAY40ML,1,200,150,50,acaricide,cattle
SIDAIPOULTRYVITAMINS30GM,1,150,80,70,supplement,poultry
OMEXFOLIARFEED1L,1,1650,1402,248,foliar feed,agro
TRIATIXSTOCKSPRAY100ML,1,400,340,60,acaricide,cattle
VETPROJOTOBLOCK3KGVETPROLTD,1,450,350,100,mineral block salts,cattle
ALBAFAS10%500ML,1,680,440,240,dewormer,cattle
DOMINEX100EC20ML,1,200,135,65,acaricide,cattle
ROCKALUM500GM,1,250,130,120,disinfectant,house hold
PHARMABEEFLICK2KG,1,250,70,180,mineral powder salts,cattle
MINE-LICKNDAMA2KG,1,300,140,160,mineral block salts,cattle
DUDU-KRIN250ML,1,500,360,140,acaricide,pet
MAPATODOGMEAL20KG,1,1100,980,120,feeds,pet
MAPATOGROWERSMASH10KG,1,450,0,450,feeds,poultry
NEOXYVITAMINWSP100GM,1,350,170,180,supplement,poultry
MINE-LICKNDAMA1KG,1,200,100,100,mineral block salts,cattle
MSVCAL-P500GMMSV,1,350,185,165,supplement,all purpose
GARDAL10%40ML,1,350,232,118,dewormer,cattle
KEROL1L,1,1300,1004,296,disinfectant,house hold
